# BJD           FLUX       E_FLUX    
  8484.974393   0.971638   0.001613  
  8484.995206   0.965527   0.00161   
  8485.01608    0.959354   0.001608  
  8485.036893   0.954034   0.001603  
  8485.057706   0.912264   0.001583  
  8485.07858    0.728222   0.001487  
  8485.099393   0.68618    0.001464  
  8485.120206   0.861203   0.001556  
  8485.141081   0.955746   0.001605  
  8485.161894   0.963851   0.001607  
  8485.182707   0.966422   0.00161   
  8485.203581   0.975068   0.001613  
  8485.224394   0.974486   0.001614  
  8485.245207   0.982779   0.001618  
  8485.266081   0.987125   0.00162   
  8485.286894   0.990143   0.001621  
  8485.307707   0.994222   0.001625  
  8485.328582   0.999099   0.001624  
  8485.349395   0.99773    0.001626  
  8485.370208   1.004004   0.001626  
  8485.391082   0.999362   0.001626  
  8485.411895   0.999734   0.001625  
  8485.432708   1.000421   0.001626  
  8485.453582   0.997228   0.001624  
  8485.474395   0.997573   0.001626  
  8485.495208   0.930016   0.001592  
  8485.516082   0.832622   0.00154   
  8485.536896   0.857554   0.001555  
  8485.557709   0.970166   0.001609  
  8485.578583   0.995889   0.001624  
  8485.599396   0.997585   0.001625  
  8485.620209   0.998383   0.001625  
  8485.641083   1.00132    0.001626  
  8485.661896   1.00105    0.001626  
  8485.682709   1.00308    0.001628  
  8485.703583   0.999589   0.001626  
  8485.724396   0.997733   0.001625  
  8485.745209   0.993722   0.001622  
  8485.766083   0.990602   0.001621  
  8485.786896   0.98486    0.001618  
  8485.80771    0.980009   0.001615  
  8485.828584   0.973497   0.001612  
  8485.849397   0.970531   0.00161   
  8485.87021    0.959967   0.001606  
  8485.891084   0.951356   0.001602  
  8485.911897   0.928318   0.001594  
  8485.93271    0.769686   0.00151   
  8485.953584   0.665499   0.001452  
  8485.974397   0.816499   0.001532  
  8485.99521    0.948145   0.0016    
  8486.016084   0.958684   0.001605  
  8486.036898   0.96468    0.001607  
  8486.057711   0.971527   0.001611  
  8486.078585   0.9797     0.001614  
  8486.099398   0.981553   0.001616  
  8486.120211   0.98858    0.001619  
  8486.141085   0.989121   0.001619  
  8486.161898   0.996746   0.001624  
  8486.182711   0.999453   0.001623  
  8486.203586   0.997447   0.001622  
  8486.224399   1.000547   0.001624  
  8486.245212   0.99933    0.001624  
  8486.266086   1.002025   0.001626  
  8486.286899   0.998282   0.001622  
  8486.307712   0.99962    0.001623  
  8486.328525   0.996096   0.001623  
  8486.349338   0.954434   0.0016    
  8486.370213   0.84063    0.001543  
  8486.391026   0.831108   0.001538  
  8486.411839   0.9479     0.001596  
  8486.432713   0.997083   0.001621  
  8486.453526   0.993818   0.001621  
  8486.474339   0.994873   0.00162   
  8486.495213   1.001102   0.001622  
  8486.516026   0.999694   0.001622  
  8486.536839   1.0003     0.001622  
  8486.557713   1.000848   0.001627  
  8486.578527   0.998122   0.001619  
  8486.59934    0.998732   0.001621  
  8486.620214   0.992376   0.001617  
  8486.641027   0.987708   0.001614  
  8486.66184    0.977641   0.001612  
  8486.682714   0.973291   0.001608  
  8486.703527   0.971861   0.001606  
  8486.72434    0.958879   0.0016    
  8486.745214   0.957661   0.001599  
  8486.766027   0.947022   0.001596  
  8486.78684    0.819927   0.00153   
  8486.807715   0.669116   0.001451  
  8486.828528   0.766352   0.001502  
  8486.849341   0.932343   0.00159   
  8486.870215   0.956296   0.001598  
  8486.891028   0.962674   0.001603  
  8486.911841   0.975443   0.001607  
  8486.932715   0.977596   0.001608  
  8486.953528   0.978244   0.001609  
  8486.974341   0.987235   0.001612  
  8486.995216   0.987515   0.001614  
  8487.016029   0.989026   0.001614  
  8487.036842   0.997009   0.001618  
  8487.057716   0.998036   0.001617  
  8487.078529   1.000182   0.001619  
  8487.099342   0.996608   0.001618  
  8487.120216   0.998848   0.001618  
  8487.141029   1.000445   0.001619  
  8487.161843   1.000083   0.001619  
  8487.182717   0.996236   0.001617  
  8487.20353    0.975999   0.001607  
  8487.224343   0.863782   0.001551  
  8487.245217   0.834555   0.001535  
  8487.26603    0.925634   0.001582  
  8487.286843   0.99664    0.001617  
  8487.307718   1.000074   0.001618  
  8487.328531   1.006163   0.001624  
  8487.349344   1.008663   0.001623  
  8487.370218   1.002434   0.00162   
  8487.391031   1.003309   0.001619  
  8487.411844   1.002449   0.001622  
  8487.432718   1.002651   0.001619  
  8487.453532   0.994359   0.001617  
  8487.474345   0.993907   0.001615  
  8487.495219   0.989369   0.001612  
  8487.516032   0.98166    0.001609  
  8487.557719   0.968538   0.001605  
  8487.578532   0.963606   0.001602  
  8487.599345   0.956579   0.001599  
  8487.620219   0.950495   0.001596  
  8487.641033   0.863747   0.001552  
  8487.661846   0.685456   0.00146   
  8487.68272    0.724788   0.001481  
  8487.703533   0.906199   0.001574  
  8487.724346   0.950599   0.001597  
  8487.745159   0.957204   0.0016    
  8487.765972   0.966443   0.001604  
  8487.786846   0.974423   0.001606  
  8487.807659   0.978034   0.00161   
  8487.828473   0.983496   0.001612  
  8487.849347   0.985361   0.001613  
  8487.87016    0.987093   0.001614  
  8487.890973   0.992304   0.001616  
  8487.911847   0.996731   0.001617  
  8487.93266    0.998769   0.001619  
  8487.953473   1.002677   0.001621  
  8487.974347   0.995876   0.001619  
  8487.995161   1.001804   0.001619  
  8488.015974   0.994603   0.001618  
  8488.057661   1.000829   0.00162   
  8488.078474   0.901328   0.001571  
  8488.099348   0.827076   0.001533  
  8488.120161   0.894357   0.00157   
  8488.140975   0.989948   0.001614  
  8488.161849   0.992962   0.001616  
  8488.182662   0.997353   0.001619  
  8488.203475   0.999963   0.00162   
  8488.224349   0.9978     0.001618  
  8488.245162   1.000785   0.001621  
  8488.265976   1.000859   0.00162   
  8488.28685    1.003021   0.00162   
  8488.307663   0.995468   0.001617  
  8488.328476   0.990981   0.001617  
  8488.34935    0.986008   0.001613  
  8488.370163   0.978229   0.00161   
  8488.390976   0.978361   0.00161   
  8488.411851   0.971154   0.001605  
  8488.432664   0.961021   0.0016    
  8488.453477   0.952978   0.001596  
  8488.474351   0.945804   0.001593  
  8488.495164   0.896275   0.001571  
  8488.515977   0.710905   0.001473  
  8488.536851   0.689245   0.001461  
  8488.557665   0.866177   0.001553  
  8488.578478   0.951112   0.001595  
  8488.599352   0.955822   0.001598  
  8488.620165   0.962457   0.001601  
  8488.640978   0.969235   0.001603  
  8488.661852   0.977456   0.001608  
  8488.682665   0.979795   0.001609  
  8488.703478   0.986999   0.001613  
  8488.724353   0.987359   0.001611  
  8488.745166   0.990237   0.001614  
  8488.765979   0.995229   0.001617  
  8488.786853   0.992834   0.001617  
  8488.807666   0.994593   0.001617  
  8488.828479   0.995897   0.001615  
  8488.849353   0.997147   0.001616  
  8488.870167   0.998214   0.001617  
  8488.89098    0.996878   0.001617  
  8488.911854   0.995309   0.001616  
  8488.932667   0.918398   0.001577  
  8488.95348    0.821827   0.001528  
  8488.974293   0.866655   0.00155   
  8488.995106   0.975595   0.001606  
  8489.015981   0.996728   0.001616  
